date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:14	69/69	---M--	200	added ('OK')	text/plain	etag:%22a12de0a2637a5e5ee01089912346a4ff%22	https://www.lean-journey.org/robots.txt		(from )
12:30:15	3275857/3275857	---MCZ	200	added ('OK')	text/html	etag:W/%22cb4d6caab28145b14af73e15d439aea6%22	https://www.lean-journey.org/	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/index.html	(from )
12:30:15	36/36	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2005%20Apr%202026%2009:30:17%20GMT	https://cdn.discordapp.com/attachments/1264594968765272065/1484188065097580635/image.png?ex=69bd5159&is=69bbffd9&hm=7efa0ebcaa9b13879d5fdfd694813f8de2a6ee89c0431094f932c915ce0f8f9a&	C:/My%20Web%20Sites/sadasdasd/cdn.discordapp.com/attachments/1264594968765272065/1484188065097580635/image.07bd9.delayed	(from https://www.lean-journey.org/)
12:30:17	1743950/1743950	---M--	200	added ('OK')	image/png	etag:%22f4b771f7bdcdbef50293f8e6439c0ee2%22	https://www.lean-journey.org/assets/images/HCfIzL.png	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/assets/images/HCfIzL.png	(from https://www.lean-journey.org/)
12:30:17	15843/15843	---MCZ	200	added ('OK')	text/html	etag:W/%22a5067806b855e71eeaaa54338e4177a3%22	https://www.lean-journey.org/download.html	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/download.html	(from https://www.lean-journey.org/)
12:30:18	3718/3718	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Apr%202026%2009:30:20%20GMT	https://www.lean-journey.org/assets/images/HCfIzL_no_text.png	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/assets/images/HCfIzL_no_text.4.delayed	(from https://www.lean-journey.org/download.html)
12:30:18	561300/561300	---M--	200	added ('OK')	image/png	etag:%22326820e2bb5ca7f7d6808361072c3291%22	https://www.lean-journey.org/assets/images/bottom_banner_custom.png	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/assets/images/bottom_banner_custom.png	(from https://www.lean-journey.org/)
12:30:21	73593/73593	---M--	200	added ('OK')	image/png	etag:%222d38fb7adcafb4af3c47cdb6f28538b7%22	https://www.lean-journey.org/assets/images/Jruzk6.png	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/assets/images/Jruzk6.png	(from https://www.lean-journey.org/download.html)
12:30:22	62946/62946	---M--	200	added ('OK')	image/png	etag:%22d7f6bdebfb4ed2bf6970fbc24f3e18aa%22	https://www.lean-journey.org/assets/images/TeXZTr.png	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/assets/images/TeXZTr.png	(from https://www.lean-journey.org/download.html)
12:30:22	3260416/3260416	---MCZ	200	added ('OK')	text/html	etag:W/%22cb4d6caab28145b14af73e15d439aea6%22	https://www.lean-journey.org/index.html	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/index-2.html	(from https://www.lean-journey.org/download.html)
12:30:38	101796913/101796913	---M--	200	added ('OK')	application/zip	etag:%22359b49cb0a38fe80f5cc1778f9432f72%22	https://www.lean-journey.org/downloads/Lean%20Journey.zip	C:/My%20Web%20Sites/sadasdasd/www.lean-journey.org/downloads/Lean%20Journey.zip	(from https://www.lean-journey.org/download.html)
